Rank,Club,Squad,Avg Age,Foreigners,Avg Player Value (m),Value (m),League,Year
1,FC Barcelona,42,24.2,23,22.15,930.28,ES1,2020
2,Real Madrid,33,25.6,20,27.69,913.75,ES1,2020
3,Atlético de Madrid,33,24.8,16,21.82,720.15,ES1,2020
4,Valencia CF,33,25.5,17,12.96,427.8,ES1,2020
5,Real Sociedad,36,24.5,8,9.65,347.55,ES1,2020
6,Sevilla FC,35,25.7,16,8.42,294.75,ES1,2020
7,Real Betis Balompié,38,25.0,10,6.43,244.35,ES1,2020
8,Athletic Bilbao,32,26.3,2,6.62,211.75,ES1,2020
9,Villarreal CF,33,26.4,11,6.32,208.68,ES1,2020
10,Getafe CF,33,28.0,17,5.32,175.45,ES1,2020
11,Celta de Vigo,35,24.9,13,4.77,167.0,ES1,2020
12,RCD Espanyol Barcelona,40,25.8,12,3.9,156.05,ES1,2020
13,CD Leganés,39,25.3,16,2.81,109.7,ES1,2020
14,Deportivo Alavés,37,26.1,11,2.89,106.75,ES1,2020
15,Levante UD,33,26.5,8,2.74,90.5,ES1,2020
16,Real Valladolid CF,37,25.6,9,2.37,87.78,ES1,2020
17,RCD Mallorca,35,26.4,15,1.85,64.68,ES1,2020
18,CA Osasuna,37,26.4,4,1.7,62.78,ES1,2020
19,Granada CF,34,25.9,13,1.66,56.58,ES1,2020
20,SD Eibar,29,28.3,11,1.85,53.75,ES1,2020
