Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,PSV Eindhoven,34,26,6,2,88:32,56,84,NL1,2016
2,Ajax Amsterdam,34,25,7,2,81:21,60,82,NL1,2016
3,Feyenoord Rotterdam,34,19,6,9,62:40,22,63,NL1,2016
4,AZ Alkmaar,34,18,5,11,70:53,17,59,NL1,2016
5,FC Utrecht,34,15,8,11,57:48,9,53,NL1,2016
6,Heracles Almelo,34,14,9,11,47:49,-2,51,NL1,2016
7,FC Groningen,34,14,8,12,41:48,-7,50,NL1,2016
8,PEC Zwolle,34,14,6,14,56:54,2,48,NL1,2016
9,Vitesse Arnhem,34,12,10,12,55:38,17,46,NL1,2016
10,NEC Nijmegen,34,13,7,14,37:42,-5,46,NL1,2016
11,ADO Den Haag,34,10,13,11,48:49,-1,43,NL1,2016
12,SC Heerenveen,34,11,9,14,46:61,-15,42,NL1,2016
13,Twente Enschede FC,34,12,7,15,49:64,-15,40,NL1,2016
14,Roda JC Kerkrade,34,8,10,16,34:55,-21,34,NL1,2016
15,Excelsior Rotterdam,34,7,9,18,34:60,-26,30,NL1,2016
16,Willem II Tilburg,34,6,11,17,35:53,-18,29,NL1,2016
17,De Graafschap Doetinchem,34,5,8,21,39:66,-27,23,NL1,2016
18,SC Cambuur Leeuwarden,34,3,9,22,33:79,-46,18,NL1,2016
