Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Manchester City,38,27,5,6,83:32,51,86,GB1,2021
2,Manchester United,38,21,11,6,73:44,29,74,GB1,2021
3,Liverpool FC,38,20,9,9,68:42,26,69,GB1,2021
4,Chelsea FC,38,19,10,9,58:36,22,67,GB1,2021
5,Leicester City,38,20,6,12,68:50,18,66,GB1,2021
6,West Ham United,38,19,8,11,62:47,15,65,GB1,2021
7,Tottenham Hotspur,38,18,8,12,68:45,23,62,GB1,2021
8,Arsenal FC,38,18,7,13,55:39,16,61,GB1,2021
9,Leeds United,38,18,5,15,62:54,8,59,GB1,2021
10,Everton FC,38,17,8,13,47:48,-1,59,GB1,2021
11,Aston Villa,38,16,7,15,55:46,9,55,GB1,2021
12,Newcastle United,38,12,9,17,46:62,-16,45,GB1,2021
13,Wolverhampton Wanderers,38,12,9,17,36:52,-16,45,GB1,2021
14,Crystal Palace,38,12,8,18,41:66,-25,44,GB1,2021
15,Southampton FC,38,12,7,19,47:68,-21,43,GB1,2021
16,Brighton & Hove Albion,38,9,14,15,40:46,-6,41,GB1,2021
17,Burnley FC,38,10,9,19,33:55,-22,39,GB1,2021
18,Fulham FC,38,5,13,20,27:53,-26,28,GB1,2021
19,West Bromwich Albion,38,5,11,22,35:76,-41,26,GB1,2021
20,Sheffield United,38,7,2,29,20:63,-43,23,GB1,2021
