Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Sunderland AFC,46,29,7,10,76:41,35,94,GB2,2005
2,Wigan Athletic,46,25,12,9,79:35,44,87,GB2,2005
3,Ipswich Town,46,24,13,9,85:56,29,85,GB2,2005
4,Derby County,46,22,10,14,71:60,11,76,GB2,2005
5,Preston North End,46,21,12,13,67:58,9,75,GB2,2005
6,West Ham United,46,21,10,15,66:56,10,73,GB2,2005
7,Reading FC,46,19,13,14,51:44,7,70,GB2,2005
8,Sheffield United,46,18,13,15,57:56,1,67,GB2,2005
9,Wolverhampton Wanderers,46,15,21,10,72:59,13,66,GB2,2005
10,Millwall FC,46,18,12,16,51:45,6,66,GB2,2005
11,Queens Park Rangers,46,17,11,18,54:58,-4,62,GB2,2005
12,Stoke City,46,17,10,19,36:38,-2,61,GB2,2005
13,Burnley FC,46,15,15,16,38:39,-1,60,GB2,2005
14,Leeds United,46,14,18,14,49:52,-3,60,GB2,2005
15,Leicester City,46,12,21,13,49:46,3,57,GB2,2005
16,Cardiff City,46,13,15,18,48:51,-3,54,GB2,2005
17,Plymouth Argyle,46,14,11,21,52:64,-12,53,GB2,2005
18,Watford FC,46,12,16,18,52:59,-7,52,GB2,2005
19,Coventry City,46,13,13,20,61:73,-12,52,GB2,2005
20,Brighton & Hove Albion,46,13,12,21,40:65,-25,51,GB2,2005
21,Crewe Alexandra,46,12,14,20,66:86,-20,50,GB2,2005
22,Gillingham FC,46,12,14,20,45:66,-21,50,GB2,2005
23,Nottingham Forest,46,9,17,20,42:66,-24,44,GB2,2005
24,Rotherham United,46,5,14,27,35:69,-34,29,GB2,2005
