Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Burnley FC,46,29,14,3,87:35,52,101,GB2,2023
2,Sheffield United,46,28,7,11,73:39,34,91,GB2,2023
3,Luton Town,46,21,17,8,57:39,18,80,GB2,2023
4,Middlesbrough FC,46,22,9,15,84:56,28,75,GB2,2023
5,Coventry City,46,18,16,12,58:46,12,70,GB2,2023
6,Sunderland AFC,46,18,15,13,68:55,13,69,GB2,2023
7,Blackburn Rovers,46,20,9,17,52:54,-2,69,GB2,2023
8,Millwall FC,46,19,11,16,57:50,7,68,GB2,2023
9,West Bromwich Albion,46,18,12,16,59:53,6,66,GB2,2023
10,Swansea City,46,18,12,16,68:64,4,66,GB2,2023
11,Watford FC,46,16,15,15,56:53,3,63,GB2,2023
12,Preston North End,46,17,12,17,45:59,-14,63,GB2,2023
13,Norwich City,46,17,11,18,57:54,3,62,GB2,2023
14,Bristol City,46,15,14,17,55:56,-1,59,GB2,2023
15,Hull City,46,14,16,16,51:61,-10,58,GB2,2023
16,Stoke City,46,14,11,21,55:54,1,53,GB2,2023
17,Birmingham City,46,14,11,21,47:58,-11,53,GB2,2023
18,Huddersfield Town,46,14,11,21,47:62,-15,53,GB2,2023
19,Rotherham United,46,11,17,18,49:60,-11,50,GB2,2023
20,Queens Park Rangers,46,13,11,22,44:71,-27,50,GB2,2023
21,Cardiff City,46,13,10,23,41:58,-17,49,GB2,2023
22,Wigan Athletic,46,10,15,21,38:65,-27,45,GB2,2023
23,Reading FC,46,13,11,22,46:68,-22,44,GB2,2023
24,Blackpool FC,46,11,11,24,48:72,-24,44,GB2,2023
