Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,AZ Alkmaar,34,25,5,4,66:22,44,80,NL1,2009
2,Twente Enschede FC,34,20,9,5,62:31,31,69,NL1,2009
3,Ajax Amsterdam,34,21,5,8,74:41,33,68,NL1,2009
4,PSV Eindhoven,34,19,8,7,71:33,38,65,NL1,2009
5,SC Heerenveen,34,17,9,8,66:57,9,60,NL1,2009
6,FC Groningen,34,17,5,12,53:36,17,56,NL1,2009
7,Feyenoord Rotterdam,34,12,9,13,54:46,8,45,NL1,2009
8,NAC Breda,34,13,6,15,45:54,-9,45,NL1,2009
9,FC Utrecht,34,11,11,12,41:44,-3,44,NL1,2009
10,Vitesse Arnhem,34,11,10,13,41:48,-7,43,NL1,2009
11,NEC Nijmegen,34,9,15,10,41:40,1,42,NL1,2009
12,Willem II Tilburg,34,10,7,17,35:59,-24,37,NL1,2009
13,Sparta Rotterdam,34,9,8,17,46:66,-20,35,NL1,2009
14,ADO Den Haag,34,8,8,18,41:58,-17,32,NL1,2009
15,Heracles Almelo,34,7,11,16,35:53,-18,32,NL1,2009
16,Roda JC Kerkrade,34,7,9,18,38:58,-20,30,NL1,2009
17,De Graafschap Doetinchem,34,7,9,18,24:58,-34,30,NL1,2009
18,FC Volendam,34,7,8,19,38:67,-29,29,NL1,2009
