Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,FC Schalke 04,34,20,5,9,72:44,28,65,L2,2022
2,SV Werder Bremen,34,18,9,7,65:43,22,63,L2,2022
3,Hamburger SV,34,16,12,6,67:35,32,60,L2,2022
4,SV Darmstadt 98,34,18,6,10,71:46,25,60,L2,2022
5,FC St. Pauli,34,16,9,9,61:46,15,57,L2,2022
6,1.FC Heidenheim 1846,34,15,7,12,43:45,-2,52,L2,2022
7,SC Paderborn 07,34,13,12,9,56:44,12,51,L2,2022
8,1.FC Nuremberg,34,14,9,11,49:49,0,51,L2,2022
9,Holstein Kiel,34,12,9,13,46:54,-8,45,L2,2022
10,Fortuna Düsseldorf,34,11,11,12,45:42,3,44,L2,2022
11,Hannover 96,34,11,9,14,35:49,-14,42,L2,2022
12,Karlsruher SC,34,9,14,11,54:55,-1,41,L2,2022
13,FC Hansa Rostock,34,10,11,13,41:52,-11,41,L2,2022
14,SV Sandhausen,34,10,11,13,42:54,-12,41,L2,2022
15,SSV Jahn Regensburg,34,10,10,14,50:51,-1,40,L2,2022
16,SG Dynamo Dresden,34,7,11,16,33:46,-13,32,L2,2022
17,FC Erzgebirge Aue,34,6,8,20,32:72,-40,26,L2,2022
18,FC Ingolstadt 04,34,4,9,21,30:65,-35,21,L2,2022
