Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Bayern Munich,34,25,4,5,80:18,62,79,L1,2015
2,VfL Wolfsburg,34,20,9,5,72:38,34,69,L1,2015
3,Borussia Mönchengladbach,34,19,9,6,53:26,27,66,L1,2015
4,Bayer 04 Leverkusen,34,17,10,7,62:37,25,61,L1,2015
5,FC Augsburg,34,15,4,15,43:43,0,49,L1,2015
6,FC Schalke 04,34,13,9,12,42:40,2,48,L1,2015
7,Borussia Dortmund,34,13,7,14,47:42,5,46,L1,2015
8,TSG 1899 Hoffenheim,34,12,8,14,49:55,-6,44,L1,2015
9,Eintracht Frankfurt,34,11,10,13,56:62,-6,43,L1,2015
10,SV Werder Bremen,34,11,10,13,50:65,-15,43,L1,2015
11,1.FSV Mainz 05,34,9,13,12,45:47,-2,40,L1,2015
12,1. FC Köln,34,9,13,12,34:40,-6,40,L1,2015
13,Hannover 96,34,9,10,15,40:56,-16,37,L1,2015
14,VfB Stuttgart,34,9,9,16,42:60,-18,36,L1,2015
15,Hertha BSC,34,9,8,17,36:52,-16,35,L1,2015
16,Hamburger SV,34,9,8,17,25:50,-25,35,L1,2015
17,SC Freiburg,34,7,13,14,36:47,-11,34,L1,2015
18,SC Paderborn 07,34,7,10,17,31:65,-34,31,L1,2015
