Rank,Club,Pld,W,D,L,Goals,+/-,Pts,League,Year
1,Manchester City,38,32,2,4,95:23,72,98,GB1,2019
2,Liverpool FC,38,30,7,1,89:22,67,97,GB1,2019
3,Chelsea FC,38,21,9,8,63:39,24,72,GB1,2019
4,Tottenham Hotspur,38,23,2,13,67:39,28,71,GB1,2019
5,Arsenal FC,38,21,7,10,73:51,22,70,GB1,2019
6,Manchester United,38,19,9,10,65:54,11,66,GB1,2019
7,Wolverhampton Wanderers,38,16,9,13,47:46,1,57,GB1,2019
8,Everton FC,38,15,9,14,54:46,8,54,GB1,2019
9,Leicester City,38,15,7,16,51:48,3,52,GB1,2019
10,West Ham United,38,15,7,16,52:55,-3,52,GB1,2019
11,Watford FC,38,14,8,16,52:59,-7,50,GB1,2019
12,Crystal Palace,38,14,7,17,51:53,-2,49,GB1,2019
13,Newcastle United,38,12,9,17,42:48,-6,45,GB1,2019
14,AFC Bournemouth,38,13,6,19,56:70,-14,45,GB1,2019
15,Burnley FC,38,11,7,20,45:68,-23,40,GB1,2019
16,Southampton FC,38,9,12,17,45:65,-20,39,GB1,2019
17,Brighton & Hove Albion,38,9,9,20,35:60,-25,36,GB1,2019
18,Cardiff City,38,10,4,24,34:69,-35,34,GB1,2019
19,Fulham FC,38,7,5,26,34:81,-47,26,GB1,2019
20,Huddersfield Town,38,3,7,28,22:76,-54,16,GB1,2019
